idx,doc_id,domain,pos,n_ctx,x_text,final_token,para_start_char
70,ffw:astronomy:0:14,astronomy,113,114,"A robot helicopter will fly the skies of Mars as part of the 2020 mission, NASA has announced, hoping to replicate the success of the Wright brothers on the red planet. And if you think this sounds relatively cool, well: You're right.
The helicopter has been in development since 2013, and has been considered as a potential candidate to launch to Mars, but it's finally received official confirmation that it will ride in the ""belly panel"" of Mars 2020 until the rover touches down. Those commands will", will,0
71,ffw:astronomy:0:15,astronomy,68,69,"Humans have looked to the sky to navigate the vast oceans. It is a purpose of astronomy that opens our eyes and gives context to our place in the Universe. And can reshape how we see the world. Decide when to plant their crops, and answer questions about where we came from and how we got here.
When Copernicus claimed that", that,41
72,ffw:astronomy:0:16,astronomy,77,78,"An energetic shift for our solar system is underway and it is initiating changes within the sun and for the whole of humankind. Corey Goode and Jay Weidner explain what these changes mean for the future of humanity as we continue our shift from 3rd to 4th density. Despite concerted attempts to stunt this ascension process, extraterrestrial assistance will ensure our continued evolution as", as,0
73,ffw:astronomy:0:17,astronomy,249,250,"Thought on where in the solar system life might occur was limited historically by the belief that life relies ultimately on light and warmth from the sun and, therefore, is restricted to the surfaces of planets. The inner boundary of the ""habitable zone"" in our solar system was considered as approximately between Earth and Venus, not so close to the sun as to be too hot for life. The outer boundary was considered to lie between Mars and Jupiter, not so far from the sun that the surface of a body would necessarily be frozen or receive too little light for efficient photosynthesis. Light probably is not directly required for life to arise, however, except as it may be involved in the formation of organic compounds during the accretion of a planetary system. On the other hand, the biological use of light energy, photosynthesis, may be a prerequisite for persistence of planetary life over billions of years. The reason for this conjecture is that light provides a continuous and relatively inexhaustible source of energy. Life that depends only on chemical energy inevitably will fail as resources diminish and cannot be renewed.
Nonetheless, we know that life occurs in Earth's crust, away from the direct influence of light, and that many organisms have metabolisms that function independently of", of,87
74,ffw:astronomy:0:18,astronomy,68,69,"Nasa's Juno spacecraft is currently making its 13th orbit of Jupiter on one of the most ambitious and risky space missions ever undertaken. The astonishing images it has captured are not just visually stunning, they also deliver spectacular scientific insight, revolutionising our ideas about Jupiter. Maggie Aderin-Pocock explores these stunning discoveries, from", from,191
75,ffw:astronomy:0:22,astronomy,165,166,"As Production and Ground Operations Manager, Commercial Crew Transportation System, Charles (Chuck) Hardison leads Boeing’s manufacturing, assembly, and test efforts of the CST-100 spacecraft, including the planning for program facilities and operations infrastructure. Hardison ensures that innovations, efficient processes, and capabilities from across the Boeing enterprise are used in the manufacture and processing of space transportation vehicles to support NASA and commercial customers.
A longtime resident of Florida’s Space Coast, he has over 28 years’ experience in the aerospace industry working Space Shuttle solid rocket production engineering, International Space Station development, manufacturing, and test combined with increasing responsibility in program management roles.
Hardison previously held positions as the Director, Mission Management and Operations for Boeing Spacecraft Services at the Kennedy Space Center (KSC), Site Manager, International Space Station Boeing Prime", Prime,0
76,ffw:astronomy:0:24,astronomy,85,86,"The new Mars Express images show a region of Reull Vallis at a point where the channel is almost 7 km wide and 300 m deep. The sides of Reull Vallis are particularly sharp and steep, with parallel longitudinal features covering the floor of the channel itself.
These structures are believed to be caused by the passage of loose debris and ice during the “Amazonian” period – which continues to this", this,899
77,ffw:astronomy:0:25,astronomy,144,145,"Number one on the list might be the Big Bang that started it all, or the Chixculib asteroid that wiped out the dinosaurs 65 million years ago, Copernicus moving the sun to the center of our solar system, humans walking on the moon or one of NASA's most recent discoveries.
Bring your own list to compare.
Berninger will share the dynamics of the events and how they influenced our thinking and understanding of the universe, and how they continue to do so today.
The program begins at 8 p.m. Saturday, May 11, at the society, 5274 Zion Road, Cleves.
After the presentation, Astronomers will be on hand", hand,340
78,ffw:astronomy:0:26,astronomy,215,216,"Eight site survey instruments continue to operate at the the six GONG sites, plus downtown Tucson and Sacramento Peak. Another instrument will be installed at Kitt Peak in the near future. The network continues to see the Sun about 93.5% of the time. The two major papers reporting the site survey methods and results have been submitted to Solar Physics. A paper reporting on observations of the dust generated by the Mt. Pinatubo eruption has been drafted, and will be submitted in the near future.
Work continues to progress on the preparation of the field sites to receive the GONG instruments. At the Big Bear Solar Observatory (BBSO), a small land fill adjacent to the causeway out into the lake will be required to seat the station. Members of the GONG and BBSO staff met with the Army Corps of Engineers in January to discuss the applications for the various necessary permits. In all, four different permits are required, including the Corps of Engineers, the State water quality and wildlife agencies, and the local water district. In a parallel activity, requests", requests,0
79,ffw:astronomy:0:27,astronomy,85,86,"Gioia Massa is a NASA scientist at Kennedy Space Center working on space crop production for the International Space Station and future exploration endeavors. She conducts research to study nutrition and flavor of space-grown crops, supports science in a variety of space station hardware, and works with external investigators. She is active in education and outreach programs related to plants in space. She has a BS in Plant Science from Cornell, a PhD in Plant Biology from", from,173
80,ffw:astronomy:0:30,astronomy,180,181,"Some authors, however, among whom are Eusebius, Jerome and the historian Socrates, place its commencement at the 1st of September; these, however, appear to have confounded the Olympic year with the civil year of the Greeks, or the era of the Seleucidae.
The Civil Year Is That Which Is Employed In Chronology, And Varies Among Different Nations, Both In Respect Of The Season At Which It Commences And Of Its Subdivisions.
Others again confound both the year of Rome and the civil year with the Julian year, which in fact became the civil year after the regulation of the calendar by Julius Caesar.
The civil year commenced with the calends of January, but this did not hold a fixed place in the solar year till the time of Julius Caesar(see Calendar).
In the article Calendar (q.v.), that part of", of,361
81,ffw:astronomy:0:33,astronomy,90,91,"The US National Committee on Theoretical and Applied Mechanics (USNC/TAM), of which the APS is a member society, will launch a Distinguished Lecture series on Friday, April 30, at 3pm Pacific Daylight Time (6pm Eastern). The inaugural lecture will be given by Adam Steltzner of the NASA Jet Propulsion Laboratory, and Chief Engineer on the Mars 2020 Perseverance Rover and entitled", entitled,81
82,ffw:astronomy:0:35,astronomy,141,142,"A mysterious one radio signal coming from the center of an ancient group of stars has recently attracted the attention of a group of scholars and astronomy enthusiasts spread throughout the world: apparently its origin is to be found in a specific point of the Milky Way located at approximately 14,500 light years from the Sun. According to the first hypotheses made by the experts, it could be either a pulsar, i.e. a rapidly rotating star with a large density of neutrons, or a medium-sized black hole, a particularly rare type which until to date it has only been theorized but never observed: in the latter case, therefore, it would be a discovery of great importance.
The radio signal", signal,0
83,ffw:astronomy:0:37,astronomy,52,53,"There’s an out-of-this-world new drink coming to Sonic locations nationwide in celebration of the upcoming North American total solar eclipse, which will darken skies on April 8. The Blackout Slush Float hits Sonic Drive-Ins on March 25, and it", it,33
84,ffw:astronomy:0:40,astronomy,149,150,"See that tiny dot in the middle of that ring? That's Saturn. And the newly-discovered glowing ring is 13.4 million miles in diameter. The proverbial 800-pound gorilla has been discovered by the Spitzer Space Telescope, leaving every single astronomer speechless.
The ring hasn't been discovered till now because it's so diffuse that it reflects very little sunlight. That makes it undetectable by optical telescopes. The particles in it, however, glow with heat radiation, which was captured by the Spitzer's infrared instruments.
This image is an artist representation of what Spitzer's discovered, showing us, once again, that we are still bloody clueless when it comes to almost everything around", around,0
85,ffw:astronomy:0:42,astronomy,79,80,"Frané Lessac (@franelessac) shares UNDER THE SOUTHERN CROSS and UNDER THE MILKY WAY. Frané has made many beautiful books, but it was Traci Sorell’s debut picture book, WE ARE GRATEFUL: OTSALIHELIGA, in 2018 that really made me sit up and pay attention. Today Frané brings two picture", picture,13
86,ffw:astronomy:0:43,astronomy,72,73,"You’ve seen models of CCP-partner spacecraft designs put through their aerodynamic paces in a wind tunnel already, but have you wondered what would happen if a soccer ball were treated to the same thing? For one thing, soccer balls and any spherical object don’t necessarily behave as some might expect. Smooth spheres fly very unpredictably, it turns out – something that", that,0
87,ffw:astronomy:0:44,astronomy,51,52,"I’m delighted that my environmental work has been recognised with a nomination in the 2013 Manly Environment Centre’s Eco Awards. Here I am with my great friend, mentor and inspiration Judy Reizes, Director of the Manly Environment Centre. Judy", Judy,612
88,ffw:astronomy:0:46,astronomy,65,66,"Candidates will have a recent PhD in experimental particle astrophysics, nuclear or particle physics, or in a closely related field. The original appointment will be for two years, up to three years in special circumstances, subject to funding. The stipend will be commensurate with qualifications and experience.
The opportunities are for the following", following,578
89,ffw:astronomy:0:48,astronomy,205,206,"We will start from the top. Did you know that in October we will get to experience a total lunar eclipse AND a partial solar eclipse?! That’s right, two in one month. If the weather is just right, those of us in Pinellas County can see the total lunar eclipse around 6:55am (give or take two minutes) on Wednesday, October 8th. This is when the Moon passes directly behind the Earth and the Earth’s shadow creates a reddish hue on the moon. Then, on Oct. 23rd you can see a partial solar eclipse where the moon covers parts of the sun starting at 6:19pm. Unfortunately for us, the sun will be getting close the horizon at the peak of the solar eclipse, but there is still a chance to see some of it!
Fall is also known for the beautiful changes in leaf color, but us Floridians’ know that if we want to see true fall colors, we need to head north. Many trees", trees,137
90,ffw:astronomy:0:50,astronomy,242,243,"In Nightfall, the planet Lagash is in a system containing six stars; therefore, there is never night. Only once every two thousand years the alignment is such that only one sun is up, and an eclipse occurs due to another orbiting body which produces a brief night and a glimpse of the stars. In “Catwalk,” the planet in question is in a binary system such that it has only four days of night in any given month.
We here on Earth do not have such problems, or do we?
On one of my astronomical observing trips to Chile, I was able to see my own shadow on a moonless night from just the light of the stars from the Milky Way. I had never seen so many stars.
If you live in any of the urban or suburban areas of our planet, you probably have never seen the full splendor of the night sky, either. Why is that?
Go outside at night and look around. What do you see? I bet that most of the illumination you see will be from artificial light sources such as street lights, large advertising signs, and building lights from residences and businesses.
A century ago even in the cities people could look up", up,179
91,ffw:astronomy:0:51,astronomy,125,126,"On July 20, 1969, the Apollo 11 mission put the first humans on the moon. Neil Armstrong famously commemorated his first steps on the moon by saying, ""That's one small step for man, one giant leap for mankind."" Click through the gallery to see other milestones in space exploration. And go inside ""The Space Race"" on ""The Sixties,"" Friday, July 25, at 9pET and Saturday, July 26, at 10p ET.
Photos: Famous firsts in space
The Mars rover Curiosity does a test drill", drill,912
92,ffw:astronomy:0:58,astronomy,207,208,"For an easy-to-use constellation guide covering the whole evening sky, use the big monthly map in the center of each issue of Sky & Telescope, the essential magazine of astronomy. Or download our free Getting Started in Astronomy booklet (which only has bimonthly maps).
Once you get a telescope, to put it to good use you must have a detailed, large-scale sky atlas (set of charts). The standards are the Pocket Sky Atlas, which shows stars to magnitude 7.6; the larger Sky Atlas 2000.0 (stars to magnitude 8.5); and the even larger and deeper Uranometria 2000.0 (stars to magnitude 9.75). And read how to use sky charts effectively.
You'll also want a good deep-sky guidebook, such as Sky Atlas 2000.0 Companion by Strong and Sinnott, or the more detailed and descriptive Night Sky Observer's Guide by Kepple and Sanner, or the classic if", if,329
93,ffw:astronomy:0:59,astronomy,73,74,"The four terrestrial planets are much smaller than the gas giants, and each has a solid surface. The outer planets are gas giants, which are made up primarily of hydrogen and helium and lack a clearly defined surface to serve as a boundary between the atmosphere and the inner regions of each planet. Unlike the planets of the inner solar system, the outer planets each have a complex system", system,267
94,ffw:astronomy:0:60,astronomy,94,95,"Elon Musk’s rocketry outfit SpaceX is hard at work this week preparing for its third attempt to land its all-original Falcon 9 rocket booster on a barge anchored at sea. The attempt will take place this Sunday, after a mission to send a Dragon cargo capsule on a supply run to the International Space Station (ISS), which is in desperate need of supplies after a Russian rocket failed to reach orbit earlier this year.
SpaceX has been trying to land the booster", booster,0
95,ffw:astronomy:0:62,astronomy,117,118,"Business Insider says the rain is the disintegrated remains of Saturn’s rings, which according to researchers are mostly made up of chunks of ice and rock. The rings are under constant attack by UV radiation from the sun, and also by smaller meteoroids.
Tech Insider goes on to explain the scientific reasoning as to why Saturn’s famed rings are slowly becoming eroded, saying when collisions from the UV radiation and smaller meteoroids take place, the icy particles vaporise; forming charged water molecules that interact with Saturn’s magnetic field.
Further explanation says this ultimately falls towards Saturn, where they", they,621
96,ffw:astronomy:0:63,astronomy,184,185,"On Saturday (1 April), stargazers from around the world will have the unique opportunity to watch the close approach of comet 41P/Tuttle–Giacobini–Kresák – the April Fool's Day Comet. This will be the first time since its discovery in 1858 that it comes so close to Earth.
Comet 41P was first identified by astronomer Horace Tuttle, who is also credited with having discovered several other comets, including the iconic Swift-Tuttle. When Earth passes through debris left by Swift-Tuttle every year, people get to see the impressive Perseid Meteor Shower.
41P was then rediscovered by Michel Giacobini (in 1907) and Ľubor Kresák (in 1951), so its full name also honours these two men.
The comet circles", circles,0
97,ffw:astronomy:0:64,astronomy,220,221,"In the other parts of Sea & Space, we look upon the oceans from various perspectives, mostly related to ecology and navigation. Oceans of Water deals with the at the investigation of some of the basic properties of the predominant element of the oceans - water. Water is not only present in oceans and rivers, it is also found in the atmosphere, in trees and animals (as part of the biomass), in rocks - and in ourselves. Each second, our planet transforms huge quantities of water in different cycles, from liquid to gas, from liquid to solid, from solid to liquid, from gas to solid, from solid to gas.
The Pacific Thunderstorm on this image involves several of these transitions. (NASA image, obtained from the Columbia Space Shuttle).
But there is also plenty of water outside the Earth, in space.
Recent research has shown that water is present in much larger quantities than thought before, both on the Moon, in the outer solar system, in the atmospheres of giant stars and in the interstellar clouds of dust and gas.
This part of the ""Sea & Space", Space,0
98,ffw:astronomy:0:68,astronomy,137,138,"The NICER mission is pleased to announce that the proposal selection process for GO Cycle 1 is complete, and observations will begin March 4, 2019. Documents listing selected proposals and approved targets have been released. Target of Opportunity targets requested by more than one proposal have been prioritized according to feedback received from the review panels. If you feel a target has satisfied the trigger criteria, please contact the NICER science team via the NICER Target of Opportunity/Director's Discretionary Time Request form.
- NICER sees the contraction of the corona in a black hole X-ray transient (14 Jan 2019)
NICER made the cover of", of,574
99,ffw:astronomy:0:70,astronomy,231,232,"A number of occasions every year a down-looking digital camera on the International Space Station (ISS) is made out there by NASA for making image requests for the floor of the Earth. The digital camera is the Sally Journey Earthkam and because the weblog title says, that is Sally Ride EarthKam Week. As these photos, present our planet has a remarkably various floor.
A well-liked factor to do is select an orbital path and comply with it throughout part of the Earth you have an interest in. Perhaps the place you reside, a spot you have got visited or wish to go to? Zoom in to see extra element, particularly the place the orbital path (the purple one – for daylight), crosses. If glad click on on the purple line and make your request.
Taking part in this system requires registering so you possibly can obtain e-mail notifications of the following Earthkam week. I’m registered as a classroom Trainer nonetheless any educator might apply. This is able to be nice for Scout teams, or some other group occupied with studying extra about our planet, to not point out studying about NASA and its missions to Earth in addition to off world endeavors", endeavors,0
100,ffw:astronomy:0:71,astronomy,130,131,"What makes the moon so great? It’s honestly just a piece of rock orbiting around the earth. Left to itself, the moon would be seen as nothing. What makes the moon so great is the sun. We can look at the moon at night, see it shine so brightly, and revel in it. It’s beautiful, and it gives us the slight light that we need at night.
Yet without the sun, the moon would be nothing. No shine. No light. Nada.
In Psalm 89:37, the Psalmist refers to the moon as a faithful witness in the sky. This begs the question: a", a,98
101,ffw:astronomy:0:72,astronomy,221,222,"Stars viewed by an observatory in South America have just lost their twinkle. Images from this ground-based telescope are brighter and clearer than ever before, thanks to a new instrument on the Gemini South observatory that reduces the blurring, or twinkle, caused by Earth's atmosphere.
Earth's atmosphere may create beautiful sunsets, but the movement of warm and cold gases makes seeing distant astronomical sources a challenge. By relying on a combination of light-wave sensors and deformable mirrors known as adaptive optics (AO), astronomers have been able to subtract out the turbulence, improving their images.
Numerous telescopes have already been fitted with adaptive optics systems, but a recent upgrade to the Gemini South telescope, located in Chile, takes adaptive optics to a new level.
Gemini is a collaboration between seven member countries: the United States, the United Kingdom, Canada, Chile, Australia, Brazil and Argentina.
Some proponents of the telescope are hoping the new system will help pull the observatory out of a productivity rut, according to Nature News. Compared to other facilities of comparable size, such as Subaru and", and,0
102,ffw:astronomy:0:73,astronomy,149,150,"Black holes, stars, newly discovered planets, extraterrestrial signals, dark matter and many more concepts keep some of our brightest scientists awake at night. From the origins of the universe to our latest theories, in this series, we venture into the fascinating world of the bright night sky.
Join our Garden Fellows as we unravel some of the most interesting questions behind those surprisingly simple to see, and yet complex, shiny dots in the sky.
Professor Sara Seager is a pioneer in vast world of exoplanets & the search for other life in the universe. In this Garden Talk, Sara will consider space science's biggest question: Are we alone in the universe?
400 million years after the Big Bang, the Universe was very", very,0
103,ffw:astronomy:0:74,astronomy,108,109,"I saw a long shinny cylinder in the north/west sky around 6:54am. as I was going to my car to go to work. The sun was out, and there were no stars in the sky that I could see. I went back into my house and got my camera, this took about 3 minutes; and to my surprise the object was still there. After snapping the first shot, it was gone. I watch the skies every time I go outside, and I've seen a lot of strange crafts in", in,0
104,ffw:astronomy:0:77,astronomy,57,58,"The China National Space Administration has released a series of beautiful images from its recent moon mission. The photos – all true colour and high definition, taken by the Chang’e 3 lunar lander and Yutu rover in 2013 – are available for download from the Chinese Science and", and,0
105,ffw:astronomy:0:80,astronomy,241,242,"NASA’s James Webb Space Telescope has peered into the chaos of the Cartwheel Galaxy, revealing new details about star formation and the galaxy’s central black hole. Webb’s powerful infrared gaze produced this detailed image of the Cartwheel and two smaller companion galaxies against a backdrop of many other galaxies. This image provides a new view of how the Cartwheel Galaxy has changed over billions of years.
The winter AAS meeting was heavy on news from the James Webb Space Telescope. What were some of the new results that were announced?
December skyguide and news with @AwesomeAstroPod. We JWST image of exoplanet atmosphere, ESA astronaut recruitment, Artemis 1, and more stories. Also Does the x-ray end of the electromagnetic spectrum have Fraunhofer lines like the visual part?
This week, @WSHCrew discuss about “extremely red” QUASAR that dates back to the earliest days of the Universe with Dr. Andrey Vayner. Also how the total lunar eclipse looks red, water on Earth, plant on space, pink aurora. #365DaysOfAstro
Lets explore Venus with robotic balloons! More about this aerobots with", with,623
106,ffw:astronomy:0:83,astronomy,75,76,The Alpha Capricornids are active from July 3 through August 15 with a “plateau-like” maximum centered on July 30. This shower is not very strong and rarely produces in excess of five shower members per hour. What is notable about this shower is the number of bright fireballs produced during its activity period. This shower is seen equally well on, on,89
107,ffw:astronomy:0:88,astronomy,90,91,"The Pegasus Alpha Site is an outpost set up by the Atlantis expedition as early as their first year in the Pegasus Galaxy. The original Alpha Site was abandoned after being discovered, and tagged, by the Wraith and the expedition had to search for a replacement.
A new Alpha Site was set up in the second year and was used as a temporary prison (and research) facility for the Wraith known as Michael Kenmore. This base was likely", likely,0
108,ffw:astronomy:0:91,astronomy,233,234,"Welcome to my website. If you were wondering what all the ""theme"" nonsense is, or why your browser asked you to share your location, it's because I discovered Cosine Kitty's Astronomy Engine and had to do something with it. The engine does a huge amount, but I'm using it to get a position for the sun and moon and put them on your screen.
If you're visiting the site in ""Sky mode"" you'll hopefully see a sun or a moon or both on the page (you might also be be visiting when they've both set, in which case sorry about that — please come back later). The site will be dark when the sun is set and light when the sun has risen. The sun and moon are mapped fairly crudely onto the screen using Azimuth and Altitude values from the astronomy engine. I map altitude to the vertical direction of the screen (the sun sets at the bottom of the screen, whereas the top of the screen is reserved for when the sun is directly overhead). The azimuth is a little stranger to map because it's a 360 degree value which I'm mapping on a horizontal plane, so", so,16
109,ffw:astronomy:0:92,astronomy,234,235,"I expect posts to be relevant and civil. Debate is fine, but flaming, arguments, thread hijacking, advertising competing or unrelated products, etc., will prompt me to take action. Play nice. Keep it on topic. Mirror making is not covered here because I am simply too busy.
Lockwood Custom Optics makes optics for Newtonian and Cassegrain telescopes, specializing in large (up to 60"") and fast (down to F/2) optics and systems made from monolithic and cast cellular blanks.
I specialize in large, thin, fast, accurately corrected, smooth optics that are excellent figures of revolution. I have significant experience with lightweight cast cellular blanks. A list of my commercial clients is here, and page showing some of my notable projects can be found here.
The photo shows a 50"" f/4.0 mirror that was successfully tested (uncoated) in the telescope built by the Astronomical Research Institute. It is currently being used for for measurements of asteroids and near-Earth objects (NEOs), and other research.
A 32"" f/2.8 was recently completed", completed,197
110,ffw:astronomy:0:93,astronomy,69,70,"Planetary Resources hasn't had much success getting its asteroid mining business off the ground, in a very literal sense -- it lost its first satellite, Arkyd-3, in the Antares rocket explosion last year. It's about to get a second try, though. The L...
|All times are GMT +1. The time now", now,71
111,ffw:astronomy:0:94,astronomy,164,165,"To put this number in perspective, 11 billion miles is the equivalent of circling the Earth 440,000 times. And yet, in terms of light-years, the unit to measure space that is marked by how far light can travel in a year, V1 hasn't even left the neighborhood. It will take 40,000 years for V1 to reach only two light-years distance from the sun. As large as 11 billion is, space is infinitely bigger.
3. V1 is Traveling At 39,000 mph
This speed makes it the fastest space technology we have right now. Even spacecraft that have been launched years later with better technology are slower than V1. How does that work? During its initial years, when V", V,608
112,ffw:astronomy:0:95,astronomy,68,69,Rocket Lab hopes to take another step forward in its reusability program tonight as it tries for the third time to recover the booster from its Electron rocket. The “Love at First Insight” mission will launch from the company’s launch site on New Zealand’s Mahia Peninsula at 11:25 p.m. EST. On Rocket Lab, Lab,0
113,ffw:astronomy:0:96,astronomy,127,128,"In ancient times people do not have watches, can only rely on the height of the sun to roughly judge the time. Later, people found the sun in a large stone slowly moving. And the position of moving every day are the same, so they made a stick on the big stone, and around the stick carved some lines, the sun came to which line, you know the time to work or eat, and this is the world The earliest bell, called sundial. The sun every day is Dongsheng West, the sundial sun on the shadow of the stick every day as the center of the right rotation. Later, according", according,0
114,ffw:astronomy:0:97,astronomy,127,128,"The asteroid belt is the solar system’s ultimate time capsule. The rocky debris scattered across all those millions of miles is the leftover material from the formation of the solar system, left essentially unchanged for billions of years. Understanding the members of the asteroid belt, and especially what they’re made of, can help us solve some long-standing mysteries in the deep history of our system.
The downside is that the asteroid belt is really, really far away, situated between the orbits of Mars and Jupiter. So we can’t exactly send crewed missions there (at least not yet ), and the asteroids themselves are so small that we can’t yet land a", a,203
115,ffw:astronomy:0:98,astronomy,100,101,"With the idea now gathering some momentum, I e-mailed Dr. Amanda Gulbis in Cape Town, who I knew had been able to name an asteroid as a naming competition as a project with Pinelands school in Capetown, for advice on if and how we could go about it.
Her advice was as follows:-
First, contact someone who has discovered an asteroid and studied its orbit for a few years and then ask for his or her permission to rename it.
In our case", case,615
116,ffw:astronomy:0:99,astronomy,203,204,"LinkedIn emplea cookies para mejorar la funcionalidad y el rendimiento de nuestro sitio web, así como para ofrecer publicidad relevante. Si continúas navegando por ese sitio web, aceptas el uso de cookies. Consulta nuestras Condiciones de uso y nuestra Política de privacidad para más información.
LinkedIn emplea cookies para mejorar la funcionalidad y el rendimiento de nuestro sitio web, así como para ofrecer publicidad relevante. Si continúas navegando por ese sitio web, aceptas el uso de cookies. Consulta nuestra Política de privacidad y nuestras Condiciones de uso para más información.
c. 276 BCE
c. 195 BCE
By Cynthia Stokes Brown
More than 2,000 years ago
Eratosthenes compared the
position of the Sun’s rays in
two locations to calculate
the spherical size of the Earth
with reasonable accuracy.
A geographer and a poet
Eratosthenes was born in the Greek colony Cyrene, now the city of", of,0
117,ffw:astronomy:0:100,astronomy,169,170,"Sally Ride EarthKAM allows participants to take pictures of Earth from space using a camera aboard the International Space Station. Use EarthKAM as a teaching tool to study subjects ranging from geography to art to meteorology. During the July 14-17, 2020 mission, you can learn how the system works and to start planning ways to incorporate EarthKAM into the school year. Register to participate now.
Mars Rover Game: Play Explore Mars!
Drive around the Red Planet and gather information in this fun coding game!
Activities for NASA’s Summer of STEM: NASA EXPRESS for July 2, 2020
This week's Express can help you keep your family engaged this summer with #NASAatHome STEM learning activities, opportunities and design challenges. Parents, students and teachers can join one", one,1153
118,ffw:astronomy:0:101,astronomy,66,67,"A star that changes into a diamond planet? What sounds like science fiction is apparently reality. The discovery was made by an international team of scientists from Australia, Italy, Great Britain, the USA and Germany, including Michael Kramer from the Max Planck Institute for Radio Astronomy in Bonn. The researchers found the diamond planet with the help of the", the,0
119,ffw:astronomy:0:103,astronomy,250,251,"More on Black Holes from the European Southern Observatory: German astronomers have made a 16-year studies of stars orbiting the galactic centre. By tracking their orbits precisely, researchers can determine the size and location of our galaxy's central Black Hole. One of the stars has a period of only 12 years, completing one orbit within time of the study. The Black Hole is now estimated to have a mass of 4 million suns.
Astronomers have found thousands of stars orbiting in the core. More than 100 OB and Wolf-Rayet stars have been found that appear to have formed just a few milion years ago. Old theories of star formation can not explain how these stars exist. The immense tidal forces and radiation of the core should have torn them apart. Perhaps someday sastronomers will discover that stars contain Black Holes too.
Another team using ESO's Very Large Telescope (VLT) has imaged the ""Einstein Cross"" (photo above) from 10 billion light-years away. The cross is actually 4 images of the same distant quasar, light bent into this image by gravity from a foreground galaxy. Quasars are some of the brightest objects in the", the,24
120,ffw:astronomy:0:107,astronomy,237,238,"The Mars Society is pleased to announce that the Mars Arctic 365 (MA365) Phase 1 mission has been successfully concluded. Led by Mars Society Steering Committee member Joseph Palaia and including Adam Nehr, Justin Sumpter, Barry Stott, Garrett Edquist and Dr. Alexander Kumar and supported by experienced pilots Richard Sugden and Richard Spencer, journalist Jim Moore and the staff of Mars Society HQ, the crew has completed the key essential mission objectives and has returned safely to civilization.
Departing from Idaho on July 8th, the mission spearhead, composed of Palaia, Nehr and Sumpter, reached the Flashline Mars Arctic Research Station (FMARS) located in the polar desert on Canada’s Devon Island on July 10th. Supported by and eventually joined by the others, the team set about refitting and improving the facility, which had been dormant since 2009.
Among the tasks executed were the revival of two on-site diesel generators and the delivery of a sophisticated new “Carnot” diesel generator purchased courtesy of Association Planète Mars, the French chapter of the Mars Society. As such, there are now", now,56
121,ffw:astronomy:0:108,astronomy,208,209,"What is space? It isn't a question that most of us normally ask. Space is the venue of physics; it's where things exist, where they move and take shape. Yet over the past few decades, physicists have discovered a phenomenon that operates outside the confines of space and time: nonlocality--the ability of two particles to act in harmony no matter how far apart they may be. It appears to be almost magical.
Einstein grappled with this oddity and couldn't come to terms with it, describing it as ""spooky action at a distance."" More recently, the mystery has deepened as other forms of nonlocality have been uncovered. This strange occurrence, which has direct connections to black holes, particle collisions, and even the workings of gravity, holds the potential to undermine our most basic understandings of physical reality. If space isn't what we thought it was, then what is it?
In Spooky Action at a Distance, George Musser sets out to answer that question, offering a provocative", provocative,330
122,ffw:astronomy:0:109,astronomy,123,124,"The current standard theory, called the Lambda cold dark matter (Lambda-CDM), requires only three key elements to exist in the universe: the cosmological constant, cold dark matter, and the conventional matter we are daily. This means that smaller galaxies would be subjected to the gravitational pull of larger host galaxies and therefore travel in chaotic orbits, a factor that has not been verified thus far.
The researchers have developed a theory that would explain the unusual orbits of smaller galaxies that concern a dangerous fifth force.
The creation of invisible walls
This never-before-witnessed force might be responsible for the arrangement of galaxies into", into,772
123,ffw:astronomy:0:116,astronomy,59,60,"Final Fate: By the time any video footage is sent back to Earth, the entire crew is dead, killed by either the elements or the creature that's been attacking them. However, the very last shot, a clear image of the cephalopod-like being, is proof to the world that", that,719
124,ffw:astronomy:0:120,astronomy,179,180,"On the evening of Friday, April 1, I attempted my second-ever Messier Marathon. My first was last year, in February of 2010 (observing report here). That one was an out-of-season marathon, and only about 105 objects were visible, of which I observed 98. My goal this year was to break into the triple digits.
Owl Canyon Campground is a BLM public campground about 6 miles north of Barstow. It’s a great place for camping, hiking, and stargazing, but not a site one would usually choose for marathoning. The campground is down in the canyon, and the canyon walls raise both the eastern and western horizons, which cuts down the time available for fishing the early evening and late morning targets out of the twilight. But it’s close by, which was good because", because,62
125,ffw:astronomy:0:122,astronomy,55,56,"In March 2018, astronomers observed a sudden change in brightness of a galaxy located 239 million light-years away. Known as 1ES 1927+654, the galaxy had brightened by 100 in visible light", light,0
126,ffw:astronomy:0:124,astronomy,136,137,"The Aurora Borealis (aka the Northern Lights) are one of the most spectacular natural phenomenon found on our planet, drawing thousands of adventurous travelers to various parts of the world each year. But have you ever wondered what they look like from space? This short-but-sweet video takes us to orbit to look down on the auroras as they are happening. As you’ll see, it is just as stunning from above as it is below.
- Gear Review: Yeti Roadie 48 Wheeled Cooler - August 18, 2022
- Kristin Harila Continues Pursuit of 8000-Meter Speed Record - August", August,0
