idx,claim_id,claim,excerpt,replacement,anchored
68,3,The continuation likely describes difficulty or precision in prediction.,"likely ""difficult to pin down"" or explaining visibility/observation specifics","likely ""cheap to celebrate"" or explaining catering/decoration specifics",True
69,0,The text is an educational blog series where each week introduces a famous space photo.,"Educational blog series structure: each week introduces a famous space photo, explaining its scientific significance in accessible language for general audiences","Legal brief series structure: each week introduces a contested patent claim, arguing its statutory invalidity in technical language for appellate judges",True
69,1,The article has picked PHL 1811 as First Photo of the Week and just described the image and location.,"The article has picked PHL 1811 as First Photo of the Week, just described the image and location","The article has rejected PHL 1811 as unworthy of the Week, never mentioning the image or location",True
69,2,"The final token ""it"" ends mid-sentence, beginning a section header or phrase.","""What it"" ends mid-sentence, beginning a section header or phrase","""What now?"" ends a complete question, closing a section or paragraph",True
69,3,Immediate continuation of interpretive analysis is demanded.,demanding immediate continuation of interpretive analysis,demanding immediate cessation of all further commentary,True
70,0,The text is a news article about NASA's space exploration.,"News article reporting style established, discussing NASA's space exploration/news event context with factual NSWB details","Bedtime story telling style established, recounting a dragon's cave adventure with whimsical made-up details",True
70,1,The narrative is building toward describing the rover's autonomous activation sequence after lunar delivery.,Narrative momentum building toward describing the rover's autonomous activation sequence after lunar delivery,Narrative momentum building toward describing the rover's manual shutdown sequence before Earth launch,True
70,2,"The final fragment ""Those commands will"" is an incomplete sentence mid-clause.","Final fragment ""Those commands will"" is an incomplete sentence mid-clause","Final fragment ""Those commands failed."" is a complete sentence at clause end",True
70,3,"Activation, deploy rover, or mission handoff details are expected next.","Next tokens expected: activation, deploy rover, or mission handoff details.","Next tokens expected: budget cuts, layoffs, or agency funding details.",True
71,0,The text is educational science prose establishing a historical narrative about cosmology discovery.,Educational/explanatory science prose establishing a historical narrative about cosmology discovery,Promotional/advertising copy establishing a sales pitch about discount mattresses,True
71,1,Copernicus has now been introduced as a specific historical figure.,with Copernicus now introduced as a specific historical figure,with Newton now introduced as a specific historical figure,True
71,2,"The final token ""that"" ends an incomplete subordinate clause requiring a direct object.","""When Nicolaus Copernicus proposed that"" is an incomplete subordinate clause requiring a direct object","""Nicolaus Copernicus died."" is a complete main clause requiring only a new paragraph",True
71,3,The continuation almost certainly references the heliocentric model.,"almost certainly referencing the heliocentric model (""the Earth orbits the Sun"")","almost certainly referencing the flat-Earth model (""the Earth is a disc"")",True
72,0,"The text belongs to a pseudoscientific, conspiracy or New Age genre making predictions about ancient civilizations, ET contact and human evolution.","Pseudoscientific/conspiracy/New Age genre establishing predictions about ancient civilizations, ET contact, and human evolution trajectory","Peer-reviewed/technical/engineering genre reporting measurements of bridge loads, steel fatigue, and concrete curing times",True
72,1,The text follows an escalating rhetorical structure.,The text follows an escalating rhetorical structure,"The text follows a flat, deflating rhetorical structure",True
72,2,The listed concepts build toward a climactic vision of human advancement.,building toward a climactic vision of human advancement,trailing off into a bleak account of human decline,True
72,3,"The final token is ""as"", and a noun phrase completing what humanity evolves as is required.",requiring a noun phrase completing what humanity evolves *as*,requiring a finite verb completing what humanity evolves *from*,True
73,0,The text is in a scientific textbook register with a structured argument about Earth's life zones and energy sources.,Scientific textbook register with structured argument about Earth's life zones and energy sources,Tabloid gossip register with rambling chatter about celebrity weddings and diet fads,True
73,1,"The text moves from solar-dominated regions to exceptions, listing alternative energy zones.","the text moves from solar-dominated regions to exceptions, listing alternative energy zones (geothermal, radioactive)","the text stays within solar-dominated regions throughout, listing only sunlit habitats (deserts, savannas)",True
73,2,"The final fragment ends with ""of"" and sets up a noun phrase, almost certainly ""sunlight"" or ""photosynthesis"".","metabolically active independently of"" sets up a noun phrase completing the dependency clause, almost certainly ""sunlight"" or ""photosynthesis""","metabolically active independently until"" sets up a finite verb completing the temporal clause, almost certainly ""reproduce"" or ""migrate""",True
73,3,The fragment signals the contrast between surface life requiring sunlight and chemosynthetic ecosystems.,also signaling the logical contrast between surface life requiring sunlight and chemosynthetic or indirectly-dependent ecosystems,"also signaling the seamless continuity between surface life and deep-crust life, both equally reliant on sunlight",True
74,0,"The text is a BBC science documentary promotional register introducing Juno's revelations about Jupiter in an enthusiastic, accessible tone.","BBC science broadcast/documentary promotional register, introducing Juno mission revelations about Jupiter with enthusiastic, accessible tone","Dry legal contract register, stipulating insurance liabilities about vehicles with detached, technical tone",True
74,1,The text has outlined the mission's achievements and sets up a payoff listing specific discoveries.,"The text has outlined the mission's dramatic achievements (time spent, orientation change, data revolution), setting up a payoff listing specific scientific discoveries","The text has outlined the mission's embarrassing failures (budget overruns, lost contact, corrupted data), setting up a demand for a formal inquiry",True
74,2,"The final phrase ends with ""from"" and opens a list or range.","Final phrase ""We'll explore Juno's amazing discoveries, from"" opens a structural list or range","Final phrase ""We'll explore Juno's amazing discoveries, tonight"" closes a complete sentence",True
74,3,"""From"" signals a paired construction or a continuing series of surprising discoveries.","""From"" signals a paired construction or series continuing, likely listing multiple surprising discoveries revealed by new data","""Tonight"" signals a closing sign-off, likely ending the segment before the weather report",True
75,0,The text is a biographical profile from a Boeing press release listing career history in reverse chronological order.,"Biographical resume/profile format from Boeing's press release, listing career history chronologically in reverse","Fictional short-story format from a children's magazine, narrating a dragon's adventures in strict forward order",True
75,1,The sentence structure signals a continuing list of NASA space station locations or divisions.,signals a continuing list of NASA space station locations/divisions,"signals a closed, finished list of Parisian bakeries/cafés",True
75,2,"The final token ""Prime"" is part of an incomplete organizational or location name.","Final token ""Prime"" is part of an incomplete organizational/location name","Final token ""Bakery"" is the complete end of a finished sentence",True
75,3,A facility or role designation noun is expected next.,expecting a facility or role designation noun to follow,expecting a full stop and a new paragraph to follow,True
76,0,The text is in an encyclopedic/journalistic register presenting a factual discovery about early geological assembly on Mars.,Encyclopedic/journalistic register presenting a factual discovery about early geological assembly on Mars,Satirical/comedic register presenting a fictional prank about late-night pizza delivery on Venus,True
76,1,The quoted expert statement sets up a concluding definition or timeframe about the epoch's significance.,sets up a concluding definition or timeframe about the epoch's significance,sets up an unrelated aside or digression about the author's childhood,True
76,2,"The final token ""this"" opens a temporal phrase.","Final token ""this"" opens a temporal phrase","Final token ""ago"" closes a temporal phrase",True
76,3,"A noun like ""day"" or ""present moment"" is required next to complete the phrase.","immediately requiring a noun like ""day"" or ""present moment"" to complete the phrase","immediately requiring a verb like ""erupted"" or ""collapsed"" to begin a new clause",True
77,0,The text is a news brief/announcement with a structured event listing about a planetarium presentation.,"News brief/announcement genre signals a structured event listing with time, location, and content details about a planetarium presentation","Private diary genre signals a rambling confession with doubts, regrets, and gossip about a failed romance",True
77,1,The text is shifting to post-show logistics or interactive opportunities.,the text is now shifting to post-show logistics or interactive opportunities,the text is now shifting to the presenter's biography and credentials,True
77,2,"The clause ending in ""on hand"" is incomplete and mid-sentence.","""After the show, astronomers will be on hand"" is an incomplete clause mid-sentence","""After the show, astronomers will be on stage"" is a complete sentence at its end",True
77,3,A predicate phrase describing what the astronomers will do is required next.,immediately requiring a predicate phrase describing what the astronomers will do,immediately followed by a new sentence describing the parking arrangements,True
78,0,"The text is a technical quarterly progress report in a numbered, formal bureaucratic style.","Technical quarterly progress report (Los Alamos Solar Facility), following numbered section format with formal bureaucratic documentation style","Whimsical bedtime story (The Sleepy Dragon), following rhyming couplet format with playful nursery-rhyme style",True
78,1,Section 5.1 describes parallel ongoing activities.,"Section 5.1 describes parallel ongoing activities with conjunction ""At the same time,""","Section 5.1 describes a single completed activity with the closing phrase ""In conclusion,""",True
78,2,"The final token ""requests"" ends an incomplete sentence.","Final token ""requests"" ends an incomplete sentence (""Meanwhile, requests"")","Final token ""approved"" ends a complete sentence (""Meanwhile, approved"")",True
78,3,"A noun phrase object such as ""for permits"" or ""for proposals"" is required next.","requiring a noun phrase object, likely ""for permits,"" ""for proposals,"" or ""documents to...""","requiring a full stop, likely ""Section 5.2,"" ""Table 3,"" or ""Figure 4...""",True
79,0,The text is a professional biography of a NASA educator/scientist listing affiliations and roles.,"Professional biography format established for a NASA educator/scientist, listing institutional affiliations and roles","Casual restaurant review format established for a food blogger, listing favorite dishes and prices",True
79,1,A specific university name is required to complete the parallel credential structure.,requiring a specific university name to complete the parallel credential structure,requiring a closing punctuation mark to end the finished credential sentence,True
79,2,"The final token ""from"" is a preposition completing the PhD origin phrase.","Final token ""from"" is a preposition completing the PhD origin phrase","Final token ""Davis"" is a proper noun closing the BS origin phrase",True
79,3,"A university name, most likely another UC or major institution, is expected immediately.","immediately requiring a university name, most likely another UC or major institution","immediately requiring a year of graduation, most likely 1998 or 2003",True
80,0,The text is an encyclopedic reference article with dense Latin citations and numbered entries about ancient calendars.,"Encyclopedic dictionary/reference article style (likely Chambers or Britannica) with dense Latin citations, numbered definitional entries about ancient calendars","Teenage text-message style (likely WhatsApp or Snapchat) with sparse emoji, unnumbered casual remarks about weekend plans",True
80,1,The text now shifts to a general discussion of the calendar and timekeeping.,"now shifts to calendar/timekeeping general discussion, establishing chronological scope","now shifts to cooking/baking practical tips, establishing culinary scope",True
80,2,"The final fragment ending in ""of"" is an incomplete clause mid-sentence.","Final fragment ""deals with the Calendar proper, attending to that part of"" is an incomplete clause mid-sentence","Final fragment ""deals with the Calendar proper, attending to that part only"" is a complete clause at sentence end",True
80,3,A noun phrase specifying a domain or subsection is required next.,requiring a noun phrase specifying what domain or subsection,requiring a full stop marking the end of the entry,True
81,0,"The text is a formal academic event announcement giving a speaker, date and institutional affiliation.","Formal academic event announcement, announcing a speaker, date, and institutional affiliation","Casual family group chat, sharing a recipe, a joke, and a holiday photo",True
81,1,"The sentence promises a full event description with speaker name, title and lecture topic.","The sentence structure promises a full event description: speaker name (Eric Feron), title (2023 Space Prize winner/former Orion Director), and topic of a Visiting Distinguished Lecture","The sentence structure promises a terse cancellation notice: event name (Spring Gala), reason (venue flooding/staff strike), and refund instructions for ticket holders",True
81,2,"The final phrase ""and entitled"" requires an immediate quoted title string.","""and entitled"" is a transitional phrase requiring an immediate quoted title string","""and concluded"" is a closing phrase requiring an immediate full stop",True
81,3,"The word ""entitled"" demands a quoted lecture name immediately.","The ""entitled"" demands a quoted/titled lecture name immediately","The ""concluded"" demands a period and a new paragraph next",True
82,0,The text is an Italian/English hybrid science journalism register using past tense narrative framing.,"Italian/English hybrid science journalism register, using past tense narrative framing","Pure American sports commentary register, using present tense play-by-play framing",True
82,1,The text has been building toward describing a mysterious FRB-like radio emission near the Milky Way.,the text has been building toward describing a mysterious FRB-like radio emission near the Milky Way,the text has been building toward describing a routine software update for the observatory's website,True
82,2,"The final token ""signal"" (in ""The radio signal"") opens a new descriptive sentence re-identifying the subject.","Final token ""The radio signal"" opens a new descriptive sentence identifying the subject anew","Final token ""The radio telescope"" closes an old descriptive sentence dismissing the subject entirely",True
82,3,A verb or relative clause continuing the explanation of the signal's properties is required next.,"immediately requiring a verb or relative clause continuing the explanation of its specific properties, source, or designation",immediately requiring a full stop and a paragraph break abandoning the explanation of its properties,True
83,0,The text is a news/entertainment promotional announcement for a novelty food/drink product at a chain.,News/entertainment promotional register: announcement-style text for novelty food/drink product at chains like Chipotle/Starbucks,Academic/legal formal register: statute-style text for zoning regulations at municipalities like Boston/Denver,True
83,1,"The sentence sets up a descriptive payoff about the drink's appearance, ingredients or experience.","sets up a descriptive payoff explaining the drink's appearance, ingredients, or experience","sets up a corporate apology announcing the drink's recall, refunds, and lawsuits",True
83,2,"The final token ""it"" is a pronoun opening a new clause mid-sentence.","""it"" is a pronoun opening a new clause mid-sentence","""March"" is a noun closing a finished sentence",True
83,3,The continuation likely references the drink's dramatic black-and-purple layered look or flavor.,likely referencing its dramatic black-and-purple layered aesthetic or flavor,likely referencing its plain white paper cup or price,True
84,0,"The text has an accessible, non-expert-facing science communication tone.","Science communication article tone: accessible, non-expert-facing","Peer-reviewed journal tone: dense, specialist-facing",True
84,1,Findings about Jupiter's moon Io and magnetic field data have been stated.,findings about Jupiter's moon Io and magnetic field data have been stated,findings about Saturn's rings and gravitational lensing have been withheld,True
84,2,"The final fragment ending in ""around"" is a mid-sentence climax of rhetorical surprise.","Final fragment ""how little we know about basically everything around"" is a mid-sentence climax of rhetorical surprise at mystery","Final fragment ""how little we know about basically everything here"" is a sentence-final anticlimax of rhetorical boredom at routine",True
84,3,"A closing noun phrase like ""us"" or ""the universe"" is expected next.","immediately expects a closing noun phrase like ""us,"" ""our solar system,"" or ""the universe.""","immediately expects a new clause opener like ""but,"" ""although,"" or ""whereas.""",True
85,0,The text has an enthusiastic personal blog/review tone sharing childhood memories about books.,Enthusiastic personal blog/review tone sharing childhood memories about books and meaningful themes,Detached corporate memo tone reporting quarterly figures about logistics and shipping costs,True
85,1,"The transition introduces new literary publishing content, specifically picture books.","signals a segue introducing new literary publishing content, specifically picture books","signals a segue introducing new kitchen appliance content, specifically espresso machines",True
85,2,"The final fragment ""two picture"" begins listing published works from Globe Pequot Press.","Final fragment ""two picture"" begins listing published works from Globe Pequot Press","Final fragment ""two years"" begins recounting time spent away from Globe Pequot Press",True
85,3,"The next tokens are strongly constrained to ""book"" or ""picture book"" titles.","strongly constraining next tokens to ""book"" or ""picture book"" history/science/geography titles","leaving next tokens wide open to any verb, adverb, or unrelated aside",True
86,0,The text has an educational/informative blog tone about physics and sports aerodynamics.,Educational/informative blog tone about physics and sports aerodynamics,Angry/polemical op-ed tone about tax policy and city council corruption,True
86,1,The passage pivots to a broader aerodynamic principle about round objects and turbulence.,then pivots to a broader aerodynamic principle about round objects and turbulence,then pivots to a personal anecdote about a rained-out picnic,True
86,2,"The final clause ending in ""that"" is an incomplete relative clause requiring immediate elaboration.","Final clause ""something that totally matters when it comes to in-flight aerodynamics – a problem that"" is an incomplete relative clause requiring immediate elaboration","Final clause ""something that totally matters when it comes to in-flight aerodynamics – a problem indeed"" is a complete main clause closing the paragraph",True
86,3,The continuation likely introduces historical or practical examples.,likely introducing historical or practical examples,likely introducing the author's holiday plans,True
87,0,The text is a personal social media/blog post celebrating an achievement in a warm Australian colloquial register.,"Personal social media/blog post celebrating an achievement, signaling continued warmth and gratitude in Australian colloquial register","Formal legal notice announcing a lawsuit, signaling cold hostility and threat in American statutory register",True
87,1,Judy Harvey is introduced as the event organizer and presenter.,Judy Harvey introduced as the event organizer and presenter,Judy Harvey introduced as a rival nominee and critic,True
87,2,"The final token ""Judy"" begins a closing remark about Judy Harvey.","Final token ""Judy"" begins a closing remark or sentence about Judy Harvey's role, qualities, or personal sentiment","Final token ""Cheers"" ends the post outright as a farewell sign-off before the comments section",True
87,3,"A sentence about Judy's influence, friendship or admiration is expected next.","creates immediate expectation of a sentence continuing with Judy's influence, friendship, or admiration","creates immediate expectation of a paragraph switching to the weather, traffic, or parking",True
88,0,The text is an academic job posting in a formal register about a PhD/residential fellowship.,"Academic/job posting genre signals: formal register, PhD/residential fellowship context at Cranfield or similar institution","Tabloid/gossip column genre signals: breezy register, celebrity divorce context at Hollywood or similar scene",True
88,1,The information builds toward listing specific research positions or topics.,Offered information builds toward listing specific research positions or topics,Offered information builds toward a single closing thank-you to donors,True
88,2,"The final phrase ending in ""following"" introduces a list.","Final phrase ""The posts are for the following"" is an introduction to a list","Final phrase ""The posts are for two years"" is the end of a complete sentence",True
88,3,"An immediate specification of research topics, positions or project areas is required.","requiring an immediate specification of research topics, positions, or project areas",requiring a full stop followed by contact details for the HR office,True
89,0,The text is a blog/newsletter covering Florida nature and wildlife topics.,Blog/newsletter style covering Florida nature/wildlife topics,Court transcript style recording Nevada casino/gambling disputes,True
89,1,The text transitions from a marine winter event to the fall foliage season.,The text transitions from marine winter event to fall foliage season,The text transitions from marine winter event to summer boat sales,True
89,2,"The final token ""trees"" (in ""Many trees"") begins a clause about why leaves change color.","""Many trees"" begins a descriptive or explanatory clause about why leaves change color","""Many tourists"" begins a promotional clause about where to buy sunscreen",True
89,3,The continuation should name tree types or explain the biology of leaf color change.,demands continuation naming tree types or explaining the biology of leaf color change,demands continuation listing hotel prices or describing the beach parking,True
90,0,The text is an educational astronomy blog essay whose sections each introduce a topic with expanding context.,"Educational astronomy blog essay structure: each section introduces a topic (Milky Way visibility, light pollution facts) with expanding context","Commercial real-estate listing structure: each section prices a property (downtown lofts, suburban condos) with shrinking detail",True
90,1,"The text has shifted to light pollution as the problem, recapping older naturally dark skies.","text has shifted to light pollution as the problem, recapping older, naturally dark skies","text has shifted to cloud cover as the blessing, praising newer, brightly lit streets",True
90,2,"The final token ""up"" ends the verb phrase ""could look up"".","Final token ""up"" ends a verb phrase ""people in towns and even in cities could look up""","Final token ""away"" ends a verb phrase ""people in towns and even in cities could look away""",True
90,3,A noun phrase or subordinate clause describing what they could see is required next.,"grammatically requires a noun phrase or subordinate clause describing what they could see (stars, sky, the Milky Way)","grammatically requires a full stop and then a new sentence about ticket prices (adults, children, seniors)",True
91,0,The text is a broadcast journalism/news archive with NASA event coverage dated July 2012.,"Broadcast journalism/news article archive format with NASA event coverage and timestamps, dated July 2012","Handwritten diary/private journal format with family holiday memories and doodles, dated July 1962",True
91,1,The text transitions from a news story about Obama to photo captions about NASA images.,The text transitions from a news story about Obama to photo captions about NASA images,The text transitions from a cake recipe to knitting instructions for a scarf,True
91,2,"The caption ending in ""drill"" is incomplete and mid-sentence.","""NASA's Curiosity rover tests a practice drill"" is an incomplete photo caption mid-sentence","""NASA's Curiosity rover tests a practice landing"" is a complete photo caption at its end",True
91,3,"The next tokens must complete the drilling action, likely describing where or how the drill was tested.","next tokens must complete this action, likely describing where/how the drill was tested","next tokens must open a new caption, likely naming a different spacecraft and date",True
92,0,The text is educational guide prose focused on amateur astronomy and star-hopping.,Educational/guide prose tone with consistent domain focus on amateur astronomy and star-hopping,Satirical/mocking prose tone with scattered domain focus on celebrity gossip and fashion,True
92,1,The list signals a contrast or qualification about a noted but dated classic guide.,signals a contrast or qualification about a noted but dated/inaccessible classic guide,"signals unreserved praise for a brand-new, widely available bestseller",True
92,2,"The final token ""if"" opens a conditional clause mid-description.","Final token ""if"" opens a conditional clause mid-description of the Pears note","Final token ""guide"" closes a complete noun phrase at the end of the Pears note",True
92,3,"A contrasting qualifier like ""if slightly dated"" is required next.","immediately requiring a contrasting qualifier, likely ""if slightly dated"" or ""older format.""","immediately requiring a firm price tag, likely ""$29.95"" or ""free online.""",True
93,0,The text is a comparative astronomy description contrasting terrestrial and Jovian planets.,"Comparative astronomy description, contrasting terrestrial vs. Jovian planets across size, density, and composition","Personal travel diary, recounting a weekend in Lisbon across meals, museums, and tram rides",True
93,1,The passage is introducing another distinguishing characteristic of gas giants.,is now introducing another distinguishing characteristic of gas giants,is now summarizing the shared features of all eight planets,True
93,2,"The clause ending in ""system"" opens a comparative clause that still needs its noun complement.","""Each giant planet has a complex system"" opens a new comparative clause requiring its noun complement","""Each giant planet has a complex history"" closes a finished comparative clause with its object already supplied",True
93,3,"The complement is almost certainly ""of rings and/or many moons/satellites"".","almost certainly ""of rings and/or many moons/satellites,"" the defining subsystems associated with outer planets","almost certainly ""of volcanoes and/or deep oceans,"" the defining features associated with rocky planets",True
94,0,The text is a conversational British tech news article covering SpaceX's booster recovery attempt.,"News article style: conversational British tech journalism tone (""patience, patience,"" ""oh dear""), covering SpaceX's booster recovery attempt","Poetry anthology style: solemn Victorian verse tone (""patience, patience,"" ""oh dear""), mourning a drowned sailor's last voyage",True
94,1,The article has introduced the failed April landing and the wider context of booster recovery.,The article has introduced the failed April landing and wider context of booster recovery,The article has introduced the triumphant April launch and wider context of satellite tourism,True
94,2,"The sentence ending in ""booster"" is mid-thought and about the Falcon Heavy first stage.","""SpaceX has been trying to land the booster"" opens a sentence mid-thought directly about the Falcon Heavy first stage","""SpaceX has been trying to land the contract"" closes a finished sentence about a government procurement bid",True
94,3,The next tokens should name the recovered booster component or describe the landing site/method.,next tokens should name the booster component being recovered or describe the intended landing site/method,next tokens should name the agency official being quoted or state the dollar value of the deal,True
95,0,The text is a scientific explanation of the ring particle lifecycle on Jupiter.,Scientific explanation of ring particle lifecycle on Jupiter,Cooking instructions for caramel sauce on toast,True
95,1,The sentence sets up a deposition/atmospheric entry mechanism for the organic atoms in Jupiter's atmosphere.,sets up a deposition/atmospheric entry mechanism describing what happens to the organic atoms in Jupiter's atmosphere,sets up a launch/orbital escape mechanism describing how the probes leave Jupiter's gravity forever,True
95,2,"The final clause ""where they"" is an incomplete relative clause demanding a verb phrase.","Final clause ""where they"" is an incomplete relative clause demanding a verb phrase continuation","Final clause ""where else"" is a complete question fragment ending the paragraph",True
95,3,"The continuation most likely describes ionization, burning or deposition.","most likely describing ionization, burning, or deposition","most likely describing cooling, freezing, or crystallization",True
96,0,The text is informational explainer journalism about a comet's passage.,Informational/explainer journalism tone covering comet 2I/Borisov passage,Sentimental/romantic fiction tone covering a couple's honeymoon voyage,True
96,1,The article has been describing 21P's characteristics and close approach events.,The article has been describing 21P's characteristics and close approach events,The article has been describing a chef's recipes and holiday dinner menus,True
96,2,A natural next topic switch addresses the comet's orbital mechanics or origin.,"a natural next topic switch addresses its orbital mechanics or origin, providing scientific context","a natural next topic switch addresses its flavour pairings or price, providing culinary context",True
96,3,"The final token ""circles"" opens a new sentence describing the comet's orbit.","""The comet circles"" opens a new sentence describing 21P/RRpedia's orbit","""The comet vanished"" closes a final sentence describing 21P/RRpedia's disappearance",True
97,0,The text is an educational essay exploring Earth's oceans from a planetary perspective.,Educational essay/article exploring Earth's oceans through the lens of Earth-as-planet perspective,Satirical comedy sketch mocking city traffic through the lens of a taxi driver's perspective,True
97,1,"The ""End of Part 1"" marker signals a structured multi-part series.","The ""End of Part 1"" marker signals a structured multi-part series","The ""End of Part 1"" marker signals a self-contained single piece",True
97,2,"The final token ""Space"" is mid-phrase, part of a closing call-to-action.","The final token ""'Sea & Space"" is mid-phrase, part of a closing call-to-action","The final token ""'Sea & Sand"" ends the phrase, part of an opening disclaimer",True
97,3,The next expected token closes the quotation mark.,immediately requires closing the quotation mark,immediately requires opening a parenthesis,True
98,0,The text is technical documentation for the TESS mission.,Technical documentation style for the TESS mission,Romantic poetry style for a wedding toast,True
98,1,The dash signals continuation of a bullet list.,"the dash before ""TESS discovered its first!"" signals bullet-item continuation","the dash before ""TESS discovered its first!"" signals the end of the list",True
98,2,"The final token ""of"" sets up a reference to a publication or magazine.","Final token ""cover of"" sets up a publication/magazine reference","Final token ""cover up"" sets up a scandal/conspiracy accusation",True
98,3,A specific named publication is required next.,requiring a specific named publication to complete the prepositional phrase,requiring a numeric date to complete the temporal clause,True
99,0,The text is an informal teacher blog post about a NASA app for students.,informal teacher blog post about a NASA app for students to explore weather data interactively,formal legal brief about a tax dispute for corporations to contest customs duties in court,True
99,1,The post describes features of the View Weather app and field trip suggestions.,the post describes features of the View Weather app and field trip suggestions,the post describes symptoms of the seasonal flu and vaccination schedules,True
99,2,The text is building toward a concluding remark about student engagement.,building toward a concluding remark about student engagement opportunities,building toward an opening question about budget cuts,True
99,3,"The final token ""endeavors"" ends a closing rhetorical justification.","Final token ""endeavors"" ends a closing rhetorical justification linking weather satellites to broader NASA learning","Final token ""however"" opens an introductory factual list separating weather satellites from broader NASA learning",True
100,0,The text is a rhetorical Christian essay using a cloud analogy.,Rhetorical Christian essay structure: analogy between clouds/storms and believers faithfully reflecting God's truth in turbulent times,Technical engineering manual structure: instructions for wiring circuits and grounding equipment safely in wet conditions,True
100,1,The theological argument has built toward deeper cloud symbolism.,The theological argument has built toward deeper cloud symbolism,The financial report has drifted away from any cloud symbolism,True
100,2,"The word ""witness"" signals a scripture passage analysis.","""witness"" now signals a specific scripture passage analysis","""witness"" now signals a courtroom testimony transcript",True
100,3,"The final token ""a"" opens a rhetorical question fragment.","Final token: ""a"" opens a rhetorical question fragment","Final token: ""amen"" closes a declarative prayer sentence",True
101,0,The text is science journalism about the Gemini Planet Imager's adaptive optics achievements.,Science journalism explaining Gemini Planet Imager's AO achievements,Celebrity gossip mocking a pop singer's wardrobe failures,True
101,1,"The text maintains a factual, technical tone with specific data points.",maintaining factual/technical tone with specific data points,maintaining emotional/poetic tone with vague impressions,True
101,2,The comparisons build toward GPI's competitive positioning against peer facilities.,all building toward GPI's competitive positioning against peer facilities,all drifting away from any comparison with peer facilities,True
101,3,"The final token ""and"" is a conjunction in the middle of a list.","Final token ""and"" is a conjunction mid-list","Final token ""Keck"" is a proper noun ending the list",True
102,0,The text follows a list/catalogue pattern of three separate entries introduced sequentially.,List/catalogue pattern: three separate programming entries or science popularisation snippets introduced sequentially,Single-narrative pattern: one continuous personal diary entry or love letter unfolding without breaks,True
102,1,The third entry shifts to early universe cosmology.,the third entry shifts to early universe cosmology,the third entry shifts to medieval cooking recipes,True
102,2,"The final token ""very"" is a dangling intensifier adverb mid-sentence.","Final token ""very"" is a dangling intensifier adverb mid-sentence","Final token ""galaxies"" is a plural noun ending the sentence",True
102,3,An adjective is expected to follow immediately.,demanding an adjective immediately following,demanding a numeral immediately following,True
103,0,The text is an informal UFO eyewitness report describing a specific sky sighting.,"Informal UFO/paranormal eyewitness report register, describing a specific sky sighting with temporal and directional details","Formal corporate earnings report register, describing a quarterly revenue figure with fiscal and accounting details",True
103,1,The narrative builds toward credibility reinforcement.,Narrative momentum builds toward credibility reinforcement,Narrative momentum collapses into self-contradiction,True
103,2,The writer is escalating to broader personal experience with similar phenomena.,escalating to broader personal experience with similar phenomena,retreating to a single isolated incident with no parallels,True
103,3,"The final fragment ""I have seen many strange crafts in"" is mid-prepositional phrase requiring completion.","Final fragment ""I have seen many strange crafts in"" is mid-prepositional phrase requiring completion","Final fragment ""I have seen many strange crafts before."" is a complete sentence requiring nothing",True
104,0,The text is informational/encyclopedic prose about China's Chang'e-4 missions.,Informational/encyclopedic prose style establishing space exploration facts about China's Chang'e-4 missions,Melodramatic/fictional dialogue style establishing romantic tensions about a Parisian couple's affair,True
104,1,The sentence structure signals an incomplete institutional name.,signals an incomplete institutional/organizational name,signals a completed weather forecast,True
104,2,A specific Chinese government or academic body name is required to follow.,requiring a specific Chinese government or academic body name to follow,requiring a personal first name or nickname to follow,True
104,3,"The final token ""and"" is a conjunction in the middle of a compound proper noun.","Final token ""and"" is a conjunction mid-compound proper noun","Final token ""Museum"" is a common noun ending the proper noun",True
105,0,The text follows a blog/social media feed pattern where each block introduces a distinct space topic.,"Blog/social media feed pattern: each block introduces a distinct space topic segment with narration, links, and guest info","Legal contract clause pattern: each paragraph binds a single party to payment terms with penalties, deadlines, and signatures",True
105,1,The feed has been cycling through various space subjects.,"the feed has been cycling through various space subjects — Webb telescope, ISS, exoplanets","the feed has been fixated on one football club — its transfers, matches, managers",True
105,2,A new theme about Metal Rockets is now being introduced.,now introducing a new micro-scarlet theme about Metal Rockets,now wrapping up a familiar recurring theme about garden vegetables,True
105,3,"The final fragment ends mid-sentence after ""with,"" requiring a noun phrase.","ends mid-sentence, requiring a noun phrase (likely a person's name, guest, or resource) following ""with,""","ends a complete sentence, requiring a full stop (never a name, guest, or resource) following ""now.""",True
106,0,The text is factual/encyclopedic astronomy writing about the Lyrid meteor shower.,Factual/encyclopedic astronomy writing about the Lyrid meteor shower,Whimsical/fictional children's story about a lost puppy,True
106,1,The text establishes technical characteristics like radiant point and comet parent body.,"establishing technical characteristics like radiant point, cosmical month, and comet parent body","establishing emotional characteristics like loneliness, hope, and homesickness",True
106,2,The text continues an annual meteor shower description following an established pattern.,Continuation of annual meteor shower description following established pattern,Abrupt end of a wedding speech breaking every established pattern,True
106,3,"The final clause ""The Lyrids are visible equally well on"" is an incomplete clause requiring a balancing statement about sky regions.","""The Lyrids are visible equally well on"" is an incomplete comparative/contingency clause requiring a balancing statement about sky regions","""The Lyrids are visible equally well tonight."" is a complete declarative clause requiring no further statement about sky regions",True
